abandon|放弃
absolute|绝对的
academic|学术的
acceptable|可接受的
accompany|陪伴；伴随
account|账户；说明
accurate|准确的
accuse|指控
acknowledge|承认；感谢
acquire|获得；习得
actual|实际的
adapt|适应；改编
additional|额外的
address|地址；处理
administration|管理；行政部门
adopt|采用；收养
advance|前进；进步
affair|事务；事件
afterwards|后来
agency|机构；代理处
agenda|议程
aggressive|好斗的；强势的
aid|帮助；援助
aircraft|飞行器
alarm|警报；惊慌
alter|改变
amount|数量
anger|愤怒
angle|角度
anniversary|周年纪念
annual|年度的
anxious|焦虑的
apparent|明显的
apparently|显然；看来
appeal|呼吁；吸引力
approach|方法；接近
appropriate|合适的
approval|批准；赞同
approve|批准；赞成
arise|出现；发生
armed|武装的
arms|武器
artificial|人造的
artistic|艺术的
ashamed|惭愧的
aspect|方面
assess|评估
assessment|评估
associate|联系；联想
associated|有关的
association|协会；联系
assume|假设；认为
attempt|尝试
back|背部；支持
bacteria|细菌
bar|酒吧；条；障碍
barrier|障碍
basically|基本上
battle|战斗
bear|忍受；熊
beat|打败；敲打
beg|乞求
being|存在；生物
bent|弯曲的
bet|打赌
beyond|超出
bill|账单；议案
bitter|苦的；怨恨的
blame|责备
blind|失明的
bond|纽带；债券
border|边界
breast|胸部
brief|简短的
broad|宽阔的；广泛的
broadcast|广播
budget|预算
bullet|子弹
bunch|一束；一群
burn|燃烧；烧伤
bush|灌木
but|但是；除了
cable|电缆
calculate|计算
cancel|取消
cancer|癌症
capable|有能力的
capacity|容量；能力
capture|捕获；捕捉
cast|投射；演员阵容
catch|抓住；赶上
cell|细胞；牢房
chain|链条；连锁
chair|椅子；主持
chairman|主席
challenge|挑战
characteristic|特征
chart|图表
chief|主要的；首领
circumstance|情况
cite|引用
citizen|公民
civil|公民的；民事的
classic|经典的
close|关闭；亲密的
closely|密切地
collapse|倒塌；崩溃
combination|结合
comfort|安慰；舒适
command|命令；掌握
commission|委员会；委托
commitment|承诺；投入
committee|委员会
commonly|通常
complex|复杂的
complicated|复杂的
component|组成部分
concentration|专注；浓度
concept|概念
concern|担忧；涉及
concerned|担心的；有关的
conduct|进行；行为
confidence|信心
conflict|冲突
confusing|令人困惑的
conscious|有意识的
conservative|保守的
consideration|考虑
consistent|一致的
constant|不断的；恒定的
constantly|不断地
construct|建造
construction|建设；建筑
contemporary|当代的
contest|比赛；争夺
contract|合同
contribute|贡献
contribution|贡献
convert|转变
convinced|确信的
core|核心
corporate|公司的
council|委员会；理事会
county|郡；县
courage|勇气
crash|撞车；崩溃
creation|创造；作品
creature|生物
credit|信用；学分
crew|全体工作人员
crisis|危机
criterion|标准
critic|评论家
critical|关键的；批判的
criticize|批评
crop|庄稼；裁剪
crucial|至关重要的
cry|哭；喊
cure|治愈；疗法
current|当前的；水流
curve|曲线
curved|弯曲的
date|日期；约会
debate|辩论
debt|债务
decent|体面的；不错的
declare|宣布
decline|下降；拒绝
decoration|装饰
decrease|减少
deeply|深深地
defeat|击败；失败
defence|防御；辩护
defend|保护；辩护
delay|延误；推迟
deliberate|故意的；慎重的
deliberately|故意地
delight|高兴；使高兴
delighted|高兴的
delivery|递送；分娩
