demand|要求；需求
demonstrate|证明；展示
deny|否认
depressed|沮丧的
depressing|令人沮丧的
depth|深度
desert|沙漠；抛弃
deserve|值得
desire|渴望
desperate|绝望的
detail|细节
detailed|详细的
detect|发现；探测
dig|挖
disc|光盘；圆盘
discipline|纪律；学科
discount|折扣
dishonest|不诚实的
dismiss|解雇；不予考虑
display|展示
distribute|分发；分配
distribution|分配；分布
district|地区
divide|分开；除以
division|分隔；部门
document|文件
domestic|国内的；家庭的
dominate|支配
downwards|向下
dozen|一打
draft|草稿
drag|拖
dramatic|戏剧性的；巨大的
edit|编辑
edition|版本；版次
efficient|高效的
elderly|年长的
elect|选举
elsewhere|在别处
emerge|出现
emotional|情绪的
emphasis|强调；重点
emphasize|强调
enable|使能够
encounter|遇到
engage|参与；吸引
enhance|提高
enquiry|询问；调查
ensure|确保
enthusiasm|热情
enthusiastic|热情的
entire|整个的
entirely|完全地
equal|平等的；相等的
establish|建立
estate|房地产；庄园
estimate|估计
ethical|道德的
evaluate|评价
even|甚至；平坦的
evil|邪恶的
examination|考试；检查
excuse|借口；原谅
executive|行政主管；执行的
existence|存在
expectation|期望
expense|花费；费用
exploration|探索
expose|暴露；揭露
extend|延伸；扩大
extent|程度
external|外部的
extraordinary|非凡的
extreme|极端的
facility|设施
failure|失败
faith|信任；信仰
fault|错误；故障
favour|帮助；赞同
feather|羽毛
fee|费用
feed|喂养；供给
feedback|反馈
feel|感觉；触摸
fellow|同伴；同事
figure|数字；人物
file|文件；归档
finance|金融；资金
finding|调查结果
firm|公司；坚定的
fix|修理；固定
flame|火焰
flash|闪光；闪现
flexible|灵活的
float|漂浮
fold|折叠
folding|可折叠的
following|接下来的；下列的
forgive|原谅
former|以前的
fortune|财富；运气
forward|向前
found|创立；建立
free|免费的；自由的
freedom|自由
frequency|频率
fuel|燃料
fully|完全地
function|功能；运转
fund|基金；资助
fundamental|基本的
funding|资金
furthermore|此外
gain|获得；增加
gang|团伙
generate|产生
genre|类型；体裁
govern|统治；管理
grab|抓住
grade|年级；等级
gradually|逐渐地
grand|宏伟的；一千
grant|授予；补助金
guarantee|保证
handle|处理；把手
harm|伤害
harmful|有害的
hearing|听力；听证会
heaven|天堂
heel|脚后跟
hell|地狱
hesitate|犹豫
high|高的；强烈的
hire|雇用；租用
hold|持有；举行
hollow|空心的
holy|神圣的
honour|荣誉
host|主持人；主办
house|房子；安置
household|家庭
housing|住房
humorous|幽默的
humour|幽默
hunt|打猎；搜寻
hunting|打猎
hurt|伤害；疼痛
ideal|理想的
illustrate|说明；加插图
illustration|插图；说明
imagination|想象力
impatient|不耐烦的
imply|暗示
impose|强加
impress|给...留下印象
impressed|印象深刻的
inch|英寸
incident|事件
income|收入
increasingly|越来越
industrial|工业的
infection|感染
inform|通知
initial|最初的
initially|起初
initiative|主动性；倡议
inner|内部的
insight|洞察力
insist|坚持
inspire|激励
install|安装
instance|例子
institute|机构；学院
institution|机构；制度
insurance|保险
intended|预期的；打算的
intense|强烈的
internal|内部的
interpret|解释；口译
interrupt|打断
