accomplishment|成就
accordingly|相应地；因此
accountability|责任；问责制
accurately|准确地
acid|酸
activation|激活；启动
activist|活动家
adaptation|适应；改编
adequately|充分地
adjustment|调整
administer|管理；执行；给药
administrative|行政的；管理的
admission|准许进入；承认；入场费
adolescent|青少年
adoption|采用；收养
aesthetic|审美的
affection|喜爱；感情
aftermath|后果；余波
agricultural|农业的
albeit|虽然；尽管
alignment|排列；一致
alike|相似的；同样地
allege|声称；指控
allegedly|据称
allocation|分配
allowance|津贴；限额
ally|盟友；同盟国
alongside|在旁边；与...一起
altogether|总共；完全
aluminium|铝
ambassador|大使；代表
amend|修改；修正
amendment|修正案；修改
amid|在...之中
analogy|类比
anchor|锚；主持人
anonymous|匿名的
apparatus|设备；机构
appetite|食欲；欲望
applaud|鼓掌；称赞
applicable|适用的
appropriately|适当地
arena|竞技场；领域
arguably|可以说
arm|武装
array|大量；数组
articulate|清楚表达；口齿清楚的
ash|灰烬
aspiration|抱负；渴望
assassination|暗杀
assault|攻击；袭击
assemble|集合；组装
assembly|集会；组装
assert|断言；维护
assertion|断言
asset|资产；优点
assign|分配；指派
assistance|帮助；援助
assumption|假设
assurance|保证
attachment|附件；依恋
auction|拍卖
attendance|出席人数；出席
audit|审计
auto|汽车
automated|自动化的
automatically|自动地
autonomous|自治的；自主的
awareness|意识
awkward|尴尬的；笨拙的
backdrop|背景
backing|支持；衬背
backup|备份；后备
badge|徽章；标记
balanced|平衡的
ballet|芭蕾舞
balloon|气球
ballot|投票；选票
bankruptcy|破产
banner|横幅；旗帜
bare|赤裸的；仅有的
barely|几乎不
bargain|便宜货；讨价还价
barrel|桶
basement|地下室
basket|篮子
bass|低音；鲈鱼
bat|球棒；蝙蝠
battlefield|战场
bay|海湾
beam|光束；梁
beast|野兽
behalf|代表；利益
beloved|心爱的
bench|长凳；法官席
benchmark|基准
beneath|在...下面
beneficial|有益的
beside|在...旁边
besides|此外
bet|打赌
betray|背叛
beverage|饮料
bias|偏见
bid|出价；投标
bind|捆绑；约束
biography|传记
bishop|主教
bizarre|奇怪的
blade|刀片；叶片
blanket|毯子；覆盖层
blast|爆炸；强风
blend|混合
bless|祝福
blessing|祝福；好事
boast|吹嘘；拥有
bonus|奖金；额外好处
booking|预订
boom|繁荣；轰鸣
bounce|弹跳
bound|一定会；受约束的
boundary|边界
bow|鞠躬；弓
breach|违反；突破
breakdown|故障；分解
breakthrough|突破
breed|品种；繁殖
broadband|宽带
browser|浏览器
brutal|残酷的
buck|美元；雄鹿
buddy|伙伴
buffer|缓冲；缓冲区
bulk|大部分；体积
burden|负担
bureaucracy|官僚体系
burial|埋葬
burst|爆发；破裂
cabin|小屋；机舱
cabinet|内阁；橱柜
calculation|计算
canal|运河
candle|蜡烛
canvas|帆布；画布
capability|能力
capitalism|资本主义
capitalist|资本主义的；资本家
cargo|货物
carriage|车厢；运输
carve|雕刻；切开
casino|赌场
casualty|伤亡人员
catalogue|目录
cater|提供餐饮；迎合
cattle|牛
caution|谨慎；警告
cautious|谨慎的
cease|停止
cemetery|墓地
chamber|房间；会议厅
chaos|混乱
characterize|成为...的特征；描述
charm|魅力；吸引
charter|宪章；包租
choir|合唱团
chronic|长期的；慢性的
chunk|大块；部分
circulate|循环；传播
circulation|流通；循环
citizenship|公民身份
