distract|分散注意力
disturb|打扰；扰乱
dive|潜水；跳水
diverse|多样的
diversity|多样性
divorce|离婚
dominant|占主导的
donation|捐赠
dot|点
downtown|市中心
dramatically|显著地；戏剧性地
drought|干旱
dull|枯燥的；暗淡的
dump|倾倒；垃圾场
duration|持续时间
dynamic|动态的；有活力的
economics|经济学
economist|经济学家
editorial|社论；编辑的
efficiently|高效地
elbow|肘
electronics|电子学；电子产品
elegant|优雅的
elementary|基本的；初级的
eliminate|消除；淘汰
embrace|拥抱；接受
emission|排放；散发
emotionally|情感上
empire|帝国
enjoyable|令人愉快的
entertaining|有趣的；娱乐性的
entrepreneur|企业家
envelope|信封
equip|装备；配备
equivalent|等同物；等价的
era|时代
erupt|爆发；喷发
essentially|本质上
ethic|道德准则
ethnic|民族的
evaluation|评价
evident|明显的
evolution|进化；发展
evolve|进化；逐渐发展
exceed|超过
exception|例外
excessive|过度的
exclude|排除；不包括
exhibit|展览；展出
exit|出口；离开
exotic|异国情调的
expansion|扩张；扩大
expertise|专长
exploit|利用；剥削
exposure|暴露；接触
extension|延伸；延期
extensive|广泛的
extensively|广泛地
extract|提取；摘录
fabric|布料；结构
fabulous|极好的
failed|失败的
fake|假的；伪造
fame|名声
fantasy|幻想
fare|车费；票价
federal|联邦的
fever|发烧
firefighter|消防员
firework|烟花
firm|公司；坚定的
firmly|坚定地
flavour|味道
fond|喜爱的
fool|傻瓜；愚弄
forbid|禁止
forecast|预测
format|格式
formation|形成；编队
formerly|以前
fortunate|幸运的
forum|论坛
fossil|化石
foundation|基础；基金会
founder|创始人
fraction|小部分；分数
fragment|碎片
framework|框架
fraud|欺诈
freely|自由地
frequent|频繁的
fulfil|履行；实现
full-time|全职的
fundamentally|根本上
furious|愤怒的
gaming|游戏活动
gay|同性恋的；快乐的
gender|性别
gene|基因
genetic|基因的；遗传的
genius|天才
genuine|真正的
genuinely|真诚地；真正地
gesture|手势；姿态
gig|演出；临时工作
globalization|全球化
globe|地球；球体
golden|金色的；黄金般的
goodness|善良；天哪
gorgeous|华丽的；极美的
governor|州长；总督
graphic|图表的；生动的
graphics|图形；制图
greatly|大大地
greenhouse|温室
grocery|食品杂货店
guideline|指导方针
habitat|栖息地
harbour|港口；庇护
headquarters|总部
heal|治愈；康复
healthcare|医疗保健
helmet|头盔
hence|因此
herb|草药；香草
hidden|隐藏的
highway|公路
hilarious|非常滑稽的
hip|臀部；时髦的
historian|历史学家
homeless|无家可归的
honesty|诚实
hook|钩子；吸引
hopefully|有希望地；希望如此
hunger|饥饿
hypothesis|假设
icon|图标；偶像
ID|身份证件；身份
identical|完全相同的
illusion|幻觉；错觉
immigration|移民；移民入境
immune|免疫的
implement|实施；工具
implication|含义；影响
incentive|激励；诱因
incorporate|包含；合并
incorrect|不正确的
independence|独立
index|索引；指数
indication|迹象；表明
inevitable|不可避免的
inevitably|不可避免地
infer|推断
inflation|通货膨胀
info|信息
infrastructure|基础设施
inhabitant|居民
inherit|继承
ink|墨水
innovation|创新
innovative|创新的
input|输入；投入
insert|插入
inspector|检查员
installation|安装；装置
instant|立即的；瞬间
instantly|立即
integrate|整合；融入
intellectual|智力的；知识分子
interact|互动
interaction|互动；相互作用
interpretation|解释；口译
interval|间隔
invade|入侵
invasion|入侵
investor|投资者
isolate|隔离；孤立
isolated|孤立的
jail|监狱；监禁
jet|喷气式飞机
