revision|修订；复习
ridiculous|荒谬的
risky|有风险的
rival|对手；竞争的
rob|抢劫
robbery|抢劫
rocket|火箭
romance|浪漫；恋爱
rose|玫瑰
roughly|大约；粗略地
ruin|毁坏；废墟
satisfaction|满意
scandal|丑闻
scare|惊吓
scenario|情景；设想
scholar|学者
scholarship|奖学金
scratch|划痕；抓挠
screening|筛查；放映
seeker|寻求者
seminar|研讨会
settler|定居者
severely|严重地
sexy|性感的
shaped|形状为...的
shocking|令人震惊的
shore|岸
shortage|短缺
shortly|不久；简短地
short-term|短期的
sibling|兄弟姐妹
signature|签名
significance|重要性
skilled|熟练的
skull|头骨
slogan|口号
so-called|所谓的
somehow|不知怎的
sometime|在某时
sophisticated|复杂精密的；老练的
spare|空闲的；备用的
specialize|专攻；专门从事
specify|指明；具体说明
spectacular|壮观的
spectator|观众
speculate|推测；投机
speculation|推测；投机
spice|香料
spill|溢出；洒出
spite|恶意；不顾
spoil|破坏；宠坏
spokesman|男发言人
spokesperson|发言人
spokeswoman|女发言人
sponsorship|赞助
sporting|体育运动的
stall|摊位；熄火
stance|立场
starve|挨饿
steadily|稳定地
steam|蒸汽
stimulate|刺激；促进
strengthen|加强
strictly|严格地
stroke|中风；击球
stunning|惊人的；极美的
subsequent|随后的
subsequently|随后
suburb|郊区
suffering|痛苦
sufficient|足够的
sufficiently|充分地
super|极好的；超级的
surgeon|外科医生
survival|生存
survivor|幸存者
suspend|暂停；悬挂
sustainable|可持续的
swallow|吞下；燕子
sympathetic|同情的
tackle|处理；抢断
tag|标签；标记
tap|水龙头；轻拍
technological|技术的
teens|青少年时期
temple|寺庙；太阳穴
temporarily|暂时地
tendency|倾向
tension|紧张；张力
terminal|终点站；终端
terms|条款；关系
terribly|非常；糟糕地
terrify|使害怕
territory|领土；领域
terror|恐怖
terrorism|恐怖主义
terrorist|恐怖分子
testing|测试
textbook|教科书
theft|盗窃
therapist|治疗师
thesis|论文；论点
thorough|彻底的
thoroughly|彻底地
thumb|拇指
timing|时机；时间安排
tissue|纸巾；组织
ton|吨；大量
tonne|公吨
tournament|锦标赛
trace|痕迹；追踪
trading|贸易；交易
tragedy|悲剧
tragic|悲惨的
trait|特征
transmit|传输；传播
transportation|交通运输
trap|陷阱；困住
treasure|宝藏；珍视
tribe|部落
trigger|引发；触发器
trillion|万亿
troop|部队；士兵
tsunami|海啸
ultimate|最终的；极限的
unacceptable|不可接受的
uncertainty|不确定性
undergo|经历；接受
undertake|承担；从事
unfold|展开；展现
unfortunate|不幸的
unite|联合
unity|团结；统一
universal|普遍的；通用的
urgent|紧急的
usage|用法；使用
useless|无用的
valid|有效的；合理的
variation|变化；变体
vertical|垂直的
viewpoint|观点
visa|签证
visible|可见的
voluntary|自愿的
voting|投票
wander|漫步；走神
warming|变暖
weekly|每周的；每周地
weird|奇怪的
welfare|福利；幸福
wheat|小麦
whoever|无论谁
widespread|广泛的
wisdom|智慧
withdraw|撤回；取款
workforce|劳动力
workplace|工作场所
workshop|研讨会；车间
worm|蠕虫
wrist|手腕
