abolish|废除；取消
abortion|堕胎；流产
absence|缺席；缺乏
absent|缺席的；心不在焉的
absurd|荒谬的
abundance|大量；丰富
abuse|滥用；虐待
academy|学院；学会
accelerate|加速；促进
acceptance|接受；认可
accessible|可接近的；易懂的
accomplishment|成就；完成
accordance|一致；按照
accordingly|因此；相应地
accountability|责任；问责制
accountable|负有责任的
accumulate|积累
accumulation|积累；堆积
accusation|指控
accused|被告；被指控的
acid|酸；酸性的
acquisition|获得；收购
acre|英亩
activation|激活；启动
activist|活动家；积极分子
acute|严重的；敏锐的
adaptation|适应；改编
adhere|遵守；粘附
adjacent|相邻的
adjustment|调整；适应
administer|管理；执行
administrative|行政的；管理的
administrator|管理员；行政人员
admission|进入许可；承认
adolescent|青少年
adoption|采用；收养
adverse|不利的
advocate|提倡；倡导者
aesthetic|审美的；美学的
affection|喜爱；感情
aftermath|后果；余波
aggression|侵略；攻击性
agricultural|农业的
aide|助手；助理
albeit|尽管
alert|警觉的；警报
alien|外国的；外星人
align|使一致；排列
alignment|一致；排列
alike|相似的；同样地
allegation|指称；说法
allege|声称；指控
allegedly|据称
alliance|联盟
allocate|分配；拨出
allocation|分配；拨款
allowance|津贴；限额
ally|盟友；结盟
aluminium|铝
amateur|业余爱好者；业余的
ambassador|大使
amend|修改；修正
amendment|修正案；修改
amid|在...之中
analogy|类比
anchor|锚；主持人
angel|天使
anonymous|匿名的
apparatus|设备；机构
appealing|有吸引力的
appetite|胃口；欲望
applaud|鼓掌；称赞
applicable|适用的
appoint|任命；安排
appreciation|欣赏；感激
arbitrary|任意的；武断的
architectural|建筑的
archive|档案；存档
arena|竞技场；领域
arguably|可以说
arm|手臂；武装
array|一系列；数组
articulate|清楚表达；清晰的
ash|灰；灰烬
aspiration|抱负；渴望
aspire|渴望；立志
assassination|暗杀
assault|攻击；袭击
assemble|集合；组装
assembly|集会；装配
assert|断言；维护
assertion|断言；主张
assurance|保证；信心
asylum|庇护；避难
atrocity|暴行
attain|达到；获得
attendance|出席；出勤
attorney|律师
attribute|属性；归因于
audit|审计；审核
authentic|真实的；正宗的
authorize|授权；批准
auto|汽车；自动的
autonomy|自治；自主权
availability|可用性；供应
await|等待
backdrop|背景
backing|支持；资助
backup|备份；后备
bail|保释金；保释
ballot|投票；选票
banner|横幅；旗帜
bare|赤裸的；仅有的
barrel|桶；枪管
bass|低音；鲈鱼
bat|蝙蝠；球棒
battlefield|战场
bay|海湾
beam|光束；横梁
beast|野兽
behalf|代表；利益
beloved|深爱的
bench|长凳；法官席
benchmark|基准
beneath|在...下面
beneficiary|受益人
betray|背叛；泄露
bind|捆绑；约束
biography|传记
bishop|主教
bizarre|奇异的
blade|刀刃；叶片
blast|爆炸；强风
bleed|流血
blend|混合；融合
bless|祝福
blessing|祝福；幸事
boast|吹嘘；拥有
bonus|奖金；额外好处
boom|繁荣；轰鸣
bounce|弹起；反弹
boundary|边界
bow|鞠躬；弓
breach|违反；裂口
breakdown|故障；分解
breakthrough|突破
breed|繁殖；品种
broadband|宽带
browser|浏览器
brutal|残酷的
buck|美元；公鹿
buddy|伙伴
buffer|缓冲；缓冲区
bulk|大部分；大量
burden|负担
bureaucracy|官僚制度
burial|埋葬；葬礼
burst|爆发；破裂
cabinet|内阁；橱柜
calculation|计算；估算
canvas|帆布；画布
capability|能力
capitalism|资本主义
capitalist|资本主义者；资本主义的
cargo|货物
carriage|车厢；运输
carve|雕刻；切开
casino|赌场
casualty|伤亡人员
catalogue|目录
cater|迎合；提供餐饮
cattle|牛
caution|小心；警告
cautious|谨慎的
cease|停止
cemetery|墓地
chamber|房间；会议厅
chaos|混乱
characterize|以...为特征
charm|魅力；吸引
charter|宪章；租用
chronic|慢性的；长期的
chunk|大块；部分
circulate|流通；传播
circulation|循环；发行量
citizenship|公民身份
civic|公民的；城市的
civilian|平民；民用的
clarity|清晰；明确
clash|冲突；碰撞
classification|分类
cling|紧抓；依附
clinical|临床的
closure|关闭；结束
cluster|群；簇
coalition|联盟；联合政府
coastal|沿海的
cocktail|鸡尾酒
cognitive|认知的
coincide|同时发生；一致
collaborate|合作
collaboration|合作
collective|集体的；共同的
collision|碰撞；冲突
colonial|殖民的
columnist|专栏作家
combat|战斗；打击
commence|开始
commentary|评论；解说
commentator|评论员；解说员
commerce|商业；贸易
commissioner|专员；委员
commodity|商品
communist|共产主义者；共产主义的
companion|同伴；伴侣
comparable|可比较的；类似的
compassion|同情；怜悯
compel|迫使
compelling|令人信服的；引人注目的
compensate|补偿
compensation|补偿；赔偿
competence|能力；胜任
competent|有能力的；胜任的
compile|编纂；编译
complement|补充；补足
complexity|复杂性
compliance|遵守；服从
complication|复杂情况；并发症
comply|遵守
composition|组成；作文
compromise|妥协；折中
compute|计算
conceal|隐藏；隐瞒
concede|承认；让步
conceive|构想；怀孕
conception|概念；构想
concession|让步；特许权
condemn|谴责；宣判
confer|授予；商讨
confession|供认；忏悔
configuration|配置；布局
confine|限制；禁闭
confirmation|确认
confront|面对；对抗
confrontation|对抗；冲突
congratulate|祝贺
congregation|会众；集合
congressional|国会的
conquer|征服；克服
conscience|良心
consciousness|意识
consecutive|连续的
consensus|共识
consent|同意；许可
conserve|保护；节约
consistency|一致性；连贯性
consolidate|巩固；合并
constituency|选区；支持者
constitute|构成；组成
constitution|宪法；构成
constitutional|宪法的
constraint|限制；约束
consultation|咨询；会诊
contemplate|考虑；凝视
contempt|轻蔑；蔑视
contend|声称；竞争
contender|竞争者
content|内容；满意的
contention|争论；论点
continually|不断地
contractor|承包商
contradiction|矛盾
contrary|相反的
